mr,nl.utterance,informativeness,naturalness,phrasing,attr.count,batch,mr.id,min.length,near,reqs,reqs2,utterance.length,no.Of.Sentences,len.Ratio,coll.channel,coll.country,coll.region,col.city,col.inform,col.natur,col.phrasing,eval.inform,eval.natur,eval.phrasing,sem.coverage,norm.sem.coverage,sem.coverage.factor,coll.task.duration
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",If you want to spend family time you can come to the restaurant Wildwood.,6,6,6,3,txt,1,27,,Wildwood,NA,73,1,2.7037,neodev,USA,CA,San Jose,average,average,average,good,good,good,0.67,4,good,1140
"name[Wildwood], eatType[restaurant], familyFriendly[yes].","Family friendly restaurant, Wildwood.",6,6,6,3,txt,1,27,,Wildwood,NA,37,1,1.3704,inboxpounds,GBR,J8,Nottingham,,bad,,good,good,good,1,6,good,180
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",A family friendly restaurant is Wildwood.,2,4,3,3,txt,1,27,,Wildwood,NA,41,1,1.5185,prodege,GBR,T5,Aberdeen,bad,bad,good,bad,good,average,1,6,good,420
"name[Wildwood], eatType[restaurant], familyFriendly[yes].","Wildwood your family will feel at home, be your favorite restaurant.",3,2,2,3,txt,1,27,,Wildwood,NA,68,1,2.5185,neodev,USA,CA,San Jose,bad,bad,good,average,bad,bad,0.67,4,good,1140
"name[Wildwood], eatType[restaurant], familyFriendly[yes].","Wildwood restaurant, family friend.",2,1,2,3,txt,1,27,,Wildwood,NA,35,1,1.2963,inboxpounds,GBR,J8,Nottingham,bad,average,average,bad,bad,bad,0.67,4,good,180
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace es un restaurante de buen servicio.,1,1,1,3,pic,2,34,,The Golden Palace,NA,53,1,1.5588,neodev,USA,CA,San Jose,,,,bad,bad,bad,0.67,4,good,240
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a restaurant that is very reasonably priced.,4,6,6,3,pic,2,34,,The Golden Palace,NA,65,1,1.9118,inboxpounds,GBR,H9,London,average,average,average,good,good,good,0.67,4,good,720
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a Restaurant provides food in the low price range.,5,4,5,3,pic,2,34,,The Golden Palace,NA,71,1,2.0882,bitcoinget,USA,CA,San Jose,average,average,average,good,good,good,0.67,4,good,180
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace es un restaurante de buen servicio.,5,6,4,3,pic,2,34,,The Golden Palace,NA,53,1,1.5588,neodev,USA,CA,San Jose,,,,good,good,good,0.67,4,good,240
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",If you want cheap food The Golden Palace is a good restaurant to go to.,5,4,5,3,pic,2,34,,The Golden Palace,NA,71,1,2.0882,inboxpounds,GBR,H9,London,bad,bad,bad,good,good,good,1,6,good,720
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",There's a restaurant called The Golden Palace that provides low Priced  food.,4,5,5,3,pic,2,34,,The Golden Palace,NA,77,1,2.2647,bitcoinget,USA,CA,San Jose,good,good,good,good,good,good,0.67,4,good,180
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace es un restaurante de buen servicio.,5,5,4,3,pic,2,34,,The Golden Palace,NA,53,1,1.5588,neodev,USA,CA,San Jose,,,,good,good,good,0.67,4,good,240
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a very reasonably priced restaurant.,2,4,4,3,pic,2,34,,The Golden Palace,NA,57,1,1.6765,inboxpounds,GBR,H9,London,good,good,good,bad,good,good,0.67,4,good,720
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a Cheap Restaurant.,6,5,5,3,pic,2,34,,The Golden Palace,NA,40,1,1.1765,bitcoinget,USA,CA,San Jose,bad,bad,bad,good,good,good,1,6,good,180
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a restaurant food that is cheap.,3,1,1,3,txt,2,34,,The Golden Palace,NA,53,1,1.5588,clixsense,USA,NJ,Rockaway,good,average,good,average,bad,bad,1,6,good,240
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace offers low prices.,3,3,3,3,txt,2,34,,The Golden Palace,NA,36,1,1.0588,prodege,GBR,N5,Sudbury,bad,average,average,average,average,average,0.33,2,bad,60
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace restaurant cheap is nice.,3,3,3,3,txt,2,34,,The Golden Palace,NA,43,1,1.2647,neodev,CAN,ON,Milton,,good,good,average,average,average,1,6,good,60
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a cheap restaurant.,5,5,5,3,txt,2,34,,The Golden Palace,NA,40,1,1.1765,elite,GBR,T9,Heriot,good,good,good,good,good,good,1,6,good,300
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace offers food for low prices.,2,5,5,3,txt,2,34,,The Golden Palace,NA,45,1,1.3235,fusioncash,USA,CA,Torrance,average,good,good,bad,good,good,0.33,2,bad,180
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a restaurant offering cheap food.,5,6,6,3,txt,2,34,,The Golden Palace,NA,54,1,1.5882,clixsense,USA,NJ,Rockaway,average,good,average,good,good,good,1,6,good,240
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",Restaurant The Golden Palace is cheap.,2,2,2,3,txt,2,34,,The Golden Palace,NA,38,1,1.1176,prodege,GBR,N5,Sudbury,average,bad,bad,bad,bad,bad,1,6,good,60
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace restaurant cheap is nice.,5,4,5,3,txt,2,34,,The Golden Palace,NA,43,1,1.2647,neodev,CAN,ON,Milton,,bad,average,good,good,good,1,6,good,60
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",There is a cheap restaurant called The Golden Palace.,5,4,2,3,txt,2,34,,The Golden Palace,NA,53,1,1.5588,elite,GBR,T9,Heriot,average,average,average,good,good,bad,1,6,good,300
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a low-price restaurant.,5,5,5,3,txt,2,34,,The Golden Palace,NA,44,1,1.2941,fusioncash,USA,CA,Torrance,good,average,average,good,good,good,0.67,4,good,180
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].","The restaurant, The Golden Palace, offers affordable food.",5,5,5,3,txt,2,34,,The Golden Palace,NA,58,1,1.7059,clixsense,USA,NJ,Rockaway,bad,bad,bad,good,good,good,0.67,4,good,240
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a restaurant offering low prices.,3,3,3,3,txt,2,34,,The Golden Palace,NA,54,1,1.5882,prodege,GBR,N5,Sudbury,good,good,good,average,average,average,0.67,4,good,60
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace restaurant cheap is nice.,2,1,1,3,txt,2,34,,The Golden Palace,NA,43,1,1.2647,neodev,CAN,ON,Milton,,average,bad,bad,bad,bad,1,6,good,60
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a restaurant with low prices.,5,5,5,3,txt,2,34,,The Golden Palace,NA,50,1,1.4706,elite,GBR,T9,Heriot,bad,bad,bad,good,good,good,0.67,4,good,300
"name[The Golden Palace], eatType[restaurant], priceRange[cheap].",The Golden Palace is a restaurant with cheap prices.,4,6,6,3,txt,2,34,,The Golden Palace,NA,52,1,1.5294,fusioncash,USA,CA,Torrance,bad,bad,bad,good,good,good,1,6,good,180
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults is a Sushi Restaurant  centrally located to the areas attractions.,4,3,4,3,pic,3,24,,The Vaults,NA,77,1,3.2083,cotter,USA,FL,New Port Richey,bad,bad,bad,good,average,good,0.67,4,good,960
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults sushi restaurant is located in the City centre.,5,5,5,3,pic,3,24,,The Vaults,NA,58,1,2.4167,prodege,GBR,F2,Waterlooville,good,bad,average,good,good,good,0.67,4,good,120
"name[The Vaults], eatType[restaurant], food[Japanese].",A new Sushi restaurant has opened for business The Vaults.,4,2,2,3,pic,3,24,,The Vaults,NA,58,1,2.4167,cotter,USA,FL,New Port Richey,average,good,good,good,bad,bad,0.67,4,good,960
"name[The Vaults], eatType[restaurant], food[Japanese].","Just off Trumpington St in the City centre, The Vaults is a great Japanese restaurant.",4,5,6,3,pic,3,24,,The Vaults,NA,86,1,3.5833,prodege,GBR,F2,Waterlooville,bad,average,bad,good,good,good,1,6,good,120
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults offers a unique dining experience your entree comes with 3 choices of Sushi and dipping sauce.,2,4,1,3,pic,3,24,,The Vaults,NA,105,1,4.375,cotter,USA,FL,New Port Richey,good,average,average,bad,good,bad,0.33,2,bad,960
"name[The Vaults], eatType[restaurant], food[Japanese].","Based in the City centre, The Vaults is perfect for sushi lovers.",6,6,6,3,pic,3,24,,The Vaults,NA,65,1,2.7083,prodege,GBR,F2,Waterlooville,average,good,good,good,good,good,0.33,2,bad,120
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults is a Japanese restaurant.,3,6,6,3,txt,3,24,,The Vaults,NA,36,1,1.5,prodege,GBR,,,good,good,good,average,good,good,1,6,good,120
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults is a restaurant serving Japanese food.,5,5,5,3,txt,3,24,,The Vaults,NA,49,1,2.0417,prodege,GBR,H9,London,good,good,good,good,good,good,1,6,good,540
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults is a Japanese restaurant.,5,4,4,3,txt,3,24,,The Vaults,NA,36,1,1.5,neodev,CAN,ON,Concord,good,good,good,good,good,good,1,6,good,120
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults is a restaurant which serves Japanese food.,5,6,6,3,txt,3,24,,The Vaults,NA,54,1,2.25,prodege,GBR,,,average,average,average,good,good,good,1,6,good,120
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults is a Japanese restaurant.,6,6,5,3,txt,3,24,,The Vaults,NA,36,1,1.5,prodege,GBR,H9,London,average,average,average,good,good,good,1,6,good,540
"name[The Vaults], eatType[restaurant], food[Japanese].",A Japanese restaurant named The Vaults.,5,5,5,3,txt,3,24,,The Vaults,NA,39,1,1.625,neodev,CAN,ON,Concord,average,average,average,good,good,good,1,6,good,120
"name[The Vaults], eatType[restaurant], food[Japanese].",A Japanese restaurant is The Vaults.,5,4,5,3,txt,3,24,,The Vaults,NA,36,1,1.5,prodege,GBR,,,bad,bad,bad,good,good,good,1,6,good,120
"name[The Vaults], eatType[restaurant], food[Japanese].",There is a restaurant called The Vaults which serves Japanese food.,5,5,5,3,txt,3,24,,The Vaults,NA,67,1,2.7917,prodege,GBR,H9,London,bad,bad,bad,good,good,good,1,6,good,540
"name[The Vaults], eatType[restaurant], food[Japanese].",The Vaults is a restaurant serving Japanese food.,5,4,5,3,txt,3,24,,The Vaults,NA,49,1,2.0417,neodev,CAN,ON,Concord,bad,bad,bad,good,good,good,1,6,good,120
"name[Clowns], eatType[restaurant], near[The Portland Arms].",Clowns is a restaurant near The Portland Arms.,3,4,5,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,46,1,1.5862,prodege,CAN,ON,Hamilton,average,good,good,average,good,good,1,6,good,60
"name[Clowns], eatType[restaurant], near[The Portland Arms].",The Clowns restaurant is located near The Portland Arms.,5,5,5,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,56,1,1.931,cotter,CAN,ON,Ottawa,bad,bad,bad,good,good,good,1,6,good,180
"name[Clowns], eatType[restaurant], near[The Portland Arms].",There is a low cost restaurant near The Portland Arms called The Clowns Restaurant.,6,6,6,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,83,1,2.8621,instagc,USA,OK,Broken Arrow,average,average,good,good,good,good,1,6,good,180
"name[Clowns], eatType[restaurant], near[The Portland Arms].",There is a restaurant near The Portland Arms which is called Clowns.,3,4,4,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,68,1,2.3448,prodege,CAN,ON,Hamilton,good,average,average,average,good,good,1,6,good,60
"name[Clowns], eatType[restaurant], near[The Portland Arms].",The restaurant called The Clowns is near The Portland Arms.,4,3,3,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,59,1,2.0345,cotter,CAN,ON,Ottawa,average,average,average,good,average,average,1,6,good,180
"name[Clowns], eatType[restaurant], near[The Portland Arms].",The Clowns Restaurant is reasonably priced and is located near The Portland Arms.,4,6,6,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,81,1,2.7931,instagc,USA,OK,Broken Arrow,bad,good,average,good,good,good,1,6,good,180
"name[Clowns], eatType[restaurant], near[The Portland Arms].",There is a restaurant called Clowns near The Portland Arms.,4,5,6,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,59,1,2.0345,prodege,CAN,ON,Hamilton,bad,bad,bad,good,good,good,1,6,good,60
"name[Clowns], eatType[restaurant], near[The Portland Arms].","Near The Portland Arms, there is a restaurant called The Clowns.",4,5,6,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,64,1,2.2069,cotter,CAN,ON,Ottawa,good,good,good,good,good,good,1,6,good,180
"name[Clowns], eatType[restaurant], near[The Portland Arms].",The Portland Arms has a low cost restaurant near them called The Clowns Restaurant.,1,3,1,3,pic,4,29,The Portland Arms,Clowns,The Portland Arms,83,1,2.8621,instagc,USA,OK,Broken Arrow,good,bad,bad,bad,average,bad,1,6,good,180
"name[Clowns], eatType[restaurant], near[The Portland Arms].",There is a restaurant near The Portland Arms called Clowns.,4,5,5,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,59,1,2.0345,clixsense,USA,PA,Philadelphia,average,good,average,good,good,good,1,6,good,480
"name[Clowns], eatType[restaurant], near[The Portland Arms].",Clowns is a restaurant near The Portland Arms.,2,4,2,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,46,1,1.5862,gifthunterclub,GBR,K3,Peterborough,good,average,average,bad,good,bad,1,6,good,120
"name[Clowns], eatType[restaurant], near[The Portland Arms].",Clowns restaurant near The Portland Arms.,3,3,3,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,41,1,1.4138,inboxpounds,GBR,J8,Nottingham,good,good,good,average,average,average,1,6,good,180
"name[Clowns], eatType[restaurant], near[The Portland Arms].",Clowns is a restaurant near The Portland Arms.,4,6,6,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,46,1,1.5862,clixsense,USA,PA,Philadelphia,good,average,good,good,good,good,1,6,good,480
"name[Clowns], eatType[restaurant], near[The Portland Arms].",The Portland Arms has a restaurant near to it called Clowns.,4,4,4,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,60,1,2.069,gifthunterclub,GBR,K3,Peterborough,average,good,good,good,good,good,1,6,good,120
"name[Clowns], eatType[restaurant], near[The Portland Arms].","Restaurant, Clowns, near The Portland Arms.",2,3,3,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,43,1,1.4828,inboxpounds,GBR,J8,Nottingham,average,average,bad,bad,average,average,1,6,good,180
"name[Clowns], eatType[restaurant], near[The Portland Arms].",Near The Portland Arms is a restaurant called Clowns.,4,3,3,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,53,1,1.8276,clixsense,USA,PA,Philadelphia,bad,bad,bad,good,average,average,1,6,good,480
"name[Clowns], eatType[restaurant], near[The Portland Arms].",The restaurant Clowns is close to The Portland Arms.,6,6,6,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,52,1,1.7931,gifthunterclub,GBR,K3,Peterborough,bad,bad,bad,good,good,good,1,6,good,120
"name[Clowns], eatType[restaurant], near[The Portland Arms].",Near The Portland Arms you will find Clowns restaurant.,2,3,4,3,txt,4,29,The Portland Arms,Clowns,The Portland Arms,55,1,1.8966,inboxpounds,GBR,J8,Nottingham,bad,bad,average,bad,average,good,1,6,good,180
"name[Strada], eatType[restaurant], customerRating[low].",Strada is a one star rated restaurant near Tumpington street.,4,5,5,3,pic,6,25,,Strada,NA,61,1,2.44,prodege,CAN,ON,Richmond Hill,good,good,good,good,good,good,0.67,4,good,240
"name[Strada], eatType[restaurant], customerRating[low].","Strada-Italian chain restaurant serving risotto, pasta and wood-fired pizzas, plus fish and seafood dishes.",3,6,5,3,pic,6,25,,Strada,NA,107,1,4.28,vivatic,GBR,E3,Enfield,average,good,average,average,good,good,0.67,4,good,540
"name[Strada], eatType[restaurant], customerRating[low].",Strada is a terrible restaurant. It is located in the city centre.,5,6,6,3,pic,6,25,,Strada,NA,66,2,2.64,stuffpoint,GBR,N1,Tamworth,good,good,good,good,good,good,0.67,4,good,300
"name[Strada], eatType[restaurant], customerRating[low].",Strada is a one star rated restaurant.,2,4,4,3,pic,6,25,,Strada,NA,38,1,1.52,prodege,CAN,ON,Richmond Hill,average,average,average,bad,good,good,0.67,4,good,240
"name[Strada], eatType[restaurant], customerRating[low].","A few minutes walk from Trinity College in Cambridge, this Strada is a beautifully designed contemporary restaurant and bar with a small terrace for al fresco dining.",5,4,5,3,pic,6,25,,Strada,NA,166,1,6.64,vivatic,GBR,E3,Enfield,good,bad,bad,good,good,good,0.67,4,good,540
"name[Strada], eatType[restaurant], customerRating[low].",There is a bad restaurant Strada located in the centre of the city.,6,6,5,3,pic,6,25,,Strada,NA,67,1,2.68,stuffpoint,GBR,N1,Tamworth,average,average,average,good,good,good,0.67,4,good,300
"name[Strada], eatType[restaurant], customerRating[low].",Strada is a restaurant near some roads.,2,3,2,3,pic,6,25,,Strada,NA,39,1,1.56,prodege,CAN,ON,Richmond Hill,bad,bad,bad,bad,average,bad,0.67,4,good,240
"name[Strada], eatType[restaurant], customerRating[low].",Your local Strada is currently set to Cambridge.,2,2,2,3,pic,6,25,,Strada,NA,48,1,1.92,vivatic,GBR,E3,Enfield,bad,average,good,bad,bad,bad,0.33,2,bad,540
"name[Strada], eatType[restaurant], customerRating[low].",Strada is a low quality restaurant in the city centre.,5,5,5,3,pic,6,25,,Strada,NA,54,1,2.16,stuffpoint,GBR,N1,Tamworth,bad,bad,bad,good,good,good,1,6,good,300
"name[Strada], eatType[restaurant], customerRating[low].",The Strada restaurant has a low customer rating.,5,5,5,3,txt,6,25,,Strada,NA,48,1,1.92,prodege,GBR,Z4,Bangor,average,average,average,good,good,good,1,6,good,120
"name[Strada], eatType[restaurant], customerRating[low].",Strada is a restaurant with a low customer rating.,5,4,3,3,txt,6,25,,Strada,NA,50,1,2,clixsense,CAN,NS,Bridgewater,good,good,good,good,good,average,1,6,good,120
"name[Strada], eatType[restaurant], customerRating[low].",Strada is a restaurant with a low customer rating.,5,5,5,3,txt,6,25,,Strada,NA,50,1,2,inboxpounds,GBR,G5,Tunbridge Wells,good,good,good,good,good,good,1,6,good,120
"name[Strada], eatType[restaurant], customerRating[low].",A low customer rated restaurant is Strada.,3,2,2,3,txt,6,25,,Strada,NA,42,1,1.68,prodege,GBR,Z4,Bangor,bad,bad,bad,average,bad,bad,1,6,good,120
"name[Strada], eatType[restaurant], customerRating[low].",Strada is a low rated restaurant.,5,4,3,3,txt,6,25,,Strada,NA,33,1,1.32,clixsense,CAN,NS,Bridgewater,average,average,average,good,good,average,1,6,good,120
"name[Strada], eatType[restaurant], customerRating[low].",There is a cheap restaurant Strada with a low customer rating.,4,3,4,3,txt,6,25,,Strada,NA,62,1,2.48,inboxpounds,GBR,G5,Tunbridge Wells,average,average,average,good,average,good,1,6,good,120
"name[Strada], eatType[restaurant], customerRating[low].",Strada has been given a low customer rating for its restaurant.,5,4,4,3,txt,6,25,,Strada,NA,63,1,2.52,prodege,GBR,Z4,Bangor,good,good,good,good,good,good,1,6,good,120
"name[Strada], eatType[restaurant], customerRating[low].",There is a low rated restaurant named Strada.,3,3,2,3,txt,6,25,,Strada,NA,45,1,1.8,clixsense,CAN,NS,Bridgewater,bad,bad,bad,average,average,bad,1,6,good,120
"name[Strada], eatType[restaurant], customerRating[low].",A low customer rated restaurant called the Strada.,3,3,3,3,txt,6,25,,Strada,NA,50,1,2,inboxpounds,GBR,G5,Tunbridge Wells,bad,bad,bad,average,average,average,1,6,good,120
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",The Golden Curry is a restaurant that is located next to The Six Bells and is not family friendly.,3,1,3,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,98,1,2.8,elite,USA,NE,Omaha,good,good,good,average,bad,average,1,6,good,180
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",The Golden Curry is family-friendly and located near The Six Bells.,5,4,5,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,67,1,1.9143,prodege,CAN,ON,Hamilton,average,good,average,good,good,good,0.67,4,good,120
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",The Golden Curry is a family friendly restaurant located near The Six Bells.,6,6,6,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,76,1,2.1714,instagc,USA,OK,Broken Arrow,bad,bad,bad,good,good,good,1,6,good,240
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",The Golden Curry is a restaurant next to The Six Bells that is not family friendly.,4,4,4,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,83,1,2.3714,elite,USA,NE,Omaha,average,average,average,good,good,good,1,6,good,180
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",There is a place near The Six Bells called The Golden Curry which is family-friendly.,6,6,6,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,85,1,2.4286,prodege,CAN,ON,Hamilton,good,average,good,good,good,good,0.67,4,good,120
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",The Six Bells has a restaurant located near them called The Golden Curry that is very family friendly.,3,2,1,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,102,1,2.9143,instagc,USA,OK,Broken Arrow,good,good,average,average,bad,bad,1,6,good,240
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].","There is a restaurant, The Golden Curry, located next to The Six Bells. It is not family friendly.",5,5,5,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,98,2,2.8,elite,USA,NE,Omaha,bad,bad,bad,good,good,good,1,6,good,180
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].","The Golden Curry, near The Six Bells, has a family-friendly environment.",4,4,4,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,72,1,2.0571,prodege,CAN,ON,Hamilton,bad,bad,bad,good,good,good,0.67,4,good,120
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",The Golden Curry is a low cost family friendly restaurant located near The Six Bells.,4,5,5,3,pic,9,35,The Six Bells,The Golden Curry,The Six Bells,85,1,2.4286,instagc,USA,OK,Broken Arrow,average,average,good,good,good,good,1,6,good,240
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",The Golden Curry is a family-friendly restaurant near The Six Bells.,4,6,5,3,txt,9,35,The Six Bells,The Golden Curry,The Six Bells,68,1,1.9429,neodev,GBR,F8,Ware,good,good,good,good,good,good,0.67,4,good,240
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",The Golden Curry near The Six Bells says yes to being family friendly.,3,2,2,3,txt,9,35,The Six Bells,The Golden Curry,The Six Bells,70,1,2,inboxpounds,GBR,T7,Forfar,good,good,good,average,bad,bad,1,6,good,180
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].","The Golden Curry is family friendly, and located near The Six Bells.",4,5,5,3,txt,9,35,The Six Bells,The Golden Curry,The Six Bells,68,1,1.9429,prodege,USA,MN,Anoka,good,good,good,good,good,good,1,6,good,360
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",There is a family-friendly restaurant called The Golden Curry near The Six Bells.,4,4,2,3,txt,9,35,The Six Bells,The Golden Curry,The Six Bells,81,1,2.3143,neodev,GBR,F8,Ware,average,average,average,good,good,bad,0.67,4,good,240
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].",Saying yes to being family friendly is The Golden Curry near The Six Bells.,5,5,4,3,txt,9,35,The Six Bells,The Golden Curry,The Six Bells,75,1,2.1429,inboxpounds,GBR,T7,Forfar,average,average,average,good,good,good,1,6,good,180
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].","The Golden Curry, which is located near The Six Bells, is family friendly.",4,5,5,3,txt,9,35,The Six Bells,The Golden Curry,The Six Bells,74,1,2.1143,prodege,USA,MN,Anoka,average,average,average,good,good,good,1,6,good,360
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].","Near The Six Bells is The Golden Curry, a family-friendly restaurant.",2,4,2,3,txt,9,35,The Six Bells,The Golden Curry,The Six Bells,69,1,1.9714,neodev,GBR,F8,Ware,bad,bad,bad,bad,good,bad,0.67,4,good,240
"name[The Golden Curry], familyFriendly[yes], near[The Six Bells].","Near The Six Bells, The Golden Curry says yes to being family friendly.",1,1,2,3,txt,9,35,The Six Bells,The Golden Curry,The Six Bells,71,1,2.0286,inboxpounds,GBR,T7,Forfar,bad,bad,bad,bad,bad,bad,1,6,good,180
